project,month,ebitda_margin_pct
desert_bloom,2024-05-01,94.85
riverbend,2024-05-01,94.62
desert_bloom,2024-06-01,95.19
riverbend,2024-06-01,95.09
desert_bloom,2024-07-01,95.21
riverbend,2024-07-01,95.1
desert_bloom,2024-08-01,95.25
riverbend,2024-08-01,94.45
desert_bloom,2024-09-01,93.84
riverbend,2024-09-01,92.48
desert_bloom,2024-10-01,93.51
riverbend,2024-10-01,92.07
desert_bloom,2024-11-01,93.5
riverbend,2024-11-01,89.15
desert_bloom,2024-12-01,92.65
riverbend,2024-12-01,86.43
desert_bloom,2025-01-01,93.64
riverbend,2025-01-01,87.76
desert_bloom,2025-02-01,93.59
riverbend,2025-02-01,90.13
desert_bloom,2025-03-01,94.77
riverbend,2025-03-01,93.25
desert_bloom,2025-04-01,95.0
riverbend,2025-04-01,94.25
desert_bloom,2025-05-01,94.59
riverbend,2025-05-01,95.14
desert_bloom,2025-06-01,94.93
riverbend,2025-06-01,95.06
desert_bloom,2025-07-01,94.49
riverbend,2025-07-01,94.22
desert_bloom,2025-08-01,95.34
riverbend,2025-08-01,95.36
desert_bloom,2025-09-01,94.73
riverbend,2025-09-01,94.24
desert_bloom,2025-10-01,94.59
riverbend,2025-10-01,92.46
desert_bloom,2025-11-01,93.74
riverbend,2025-11-01,89.25
desert_bloom,2025-12-01,92.54
riverbend,2025-12-01,86.26
desert_bloom,2026-01-01,93.17
riverbend,2026-01-01,88.1
desert_bloom,2026-02-01,93.67
riverbend,2026-02-01,90.28
desert_bloom,2026-03-01,94.48
riverbend,2026-03-01,93.28
desert_bloom,2026-04-01,94.75
riverbend,2026-04-01,94.64
